,id,Median_HHI,state_code,county_code
5495,0500000US42125,61567,42,125
5496,0500000US42129,58866,42,129
5497,0500000US42131,59308,42,131
5498,0500000US42133,63902,42,133
5499,0500000US44001,75578,44,1
5500,0500000US44003,70223,44,3
5501,0500000US44005,77237,44,5
5502,0500000US44007,55233,44,7
5503,0500000US44009,81301,44,9
5504,0500000US45001,36685,45,1
5505,0500000US45003,50036,45,3
5506,0500000US45005,24560,45,5
5507,0500000US45007,47906,45,7
5508,0500000US45009,32229,45,9
5509,0500000US45011,36566,45,11
5510,0500000US45013,63110,45,13
5511,0500000US45015,59995,45,15
5512,0500000US45017,44534,45,17
5513,0500000US45019,61028,45,19
5514,0500000US45021,35836,45,21
5515,0500000US45023,40080,45,23
5516,0500000US45025,40033,45,25
5517,0500000US45027,37525,45,27
5518,0500000US45029,36276,45,29
5519,0500000US45031,36254,45,31
5520,0500000US45033,29362,45,33
5521,0500000US45035,61698,45,35
5522,0500000US45037,49200,45,37
5523,0500000US45039,36294,45,39
5524,0500000US45041,45479,45,41
5525,0500000US45043,48071,45,43
5526,0500000US45045,56789,45,45
5527,0500000US45047,40982,45,47
5528,0500000US45049,32453,45,49
5529,0500000US45051,48279,45,51
5530,0500000US45053,41930,45,53
5531,0500000US45055,49392,45,55
5532,0500000US45057,55223,45,57
5533,0500000US45059,41578,45,59
5534,0500000US45061,31651,45,61
5535,0500000US45063,59593,45,63
5536,0500000US45065,42262,45,65
5537,0500000US45067,33046,45,67
5538,0500000US45069,34203,45,69
5539,0500000US45071,42765,45,71
5540,0500000US45073,46056,45,73
5541,0500000US45075,36188,45,75
5542,0500000US45077,47024,45,77
5543,0500000US45079,53922,45,79
5544,0500000US45081,44486,45,81
5545,0500000US45083,50179,45,83
5546,0500000US45085,43792,45,85
5547,0500000US45087,40120,45,87
5548,0500000US45089,32351,45,89
5549,0500000US45091,62431,45,91
5550,0500000US46003,59293,46,3
5551,0500000US46005,51700,46,5
5552,0500000US46007,48348,46,7
5553,0500000US46009,54450,46,9
5554,0500000US46011,56370,46,11
5555,0500000US46013,56455,46,13
5556,0500000US46015,50839,46,15
5557,0500000US46017,32500,46,17
5558,0500000US46019,44387,46,19
5559,0500000US46021,52500,46,21
5560,0500000US46023,46389,46,23
5561,0500000US46025,47798,46,25
5562,0500000US46027,43189,46,27
5563,0500000US46029,54774,46,29
5564,0500000US46031,35441,46,31
5565,0500000US46033,55472,46,33
5566,0500000US46035,47772,46,35
5567,0500000US46037,44145,46,37
5568,0500000US46039,57930,46,39
5569,0500000US46041,43954,46,41
5570,0500000US46043,57419,46,43
5571,0500000US46045,68551,46,45
5572,0500000US46047,50837,46,47
5573,0500000US46049,53889,46,49
5574,0500000US46051,62532,46,51
5575,0500000US46053,44479,46,53
5576,0500000US46055,37420,46,55
5577,0500000US46057,65050,46,57
5578,0500000US46059,52438,46,59
5579,0500000US46061,63036,46,61
5580,0500000US46063,57365,46,63
5581,0500000US46065,63564,46,65
5582,0500000US46067,54868,46,67
5583,0500000US46069,54891,46,69
5584,0500000US46071,33438,46,71
5585,0500000US46073,49519,46,73
5586,0500000US46075,41103,46,75
5587,0500000US46077,59375,46,77
5588,0500000US46079,59232,46,79
5589,0500000US46081,52245,46,81
5590,0500000US46083,81422,46,83
5591,0500000US46085,53263,46,85
5592,0500000US46087,62234,46,87
5593,0500000US46089,43804,46,89
5594,0500000US46091,63594,46,91
5595,0500000US46093,59218,46,93
5596,0500000US46095,31222,46,95
5597,0500000US46097,51394,46,97
5598,0500000US46099,60028,46,99
5599,0500000US46101,58167,46,101
5600,0500000US46102,30347,46,102
5601,0500000US46103,55024,46,103
5602,0500000US46105,56850,46,105
5603,0500000US46107,53600,46,107
5604,0500000US46109,50495,46,109
5605,0500000US46111,54899,46,111
5606,0500000US46115,52729,46,115
5607,0500000US46117,71763,46,117
5608,0500000US46119,64028,46,119
5609,0500000US46121,24257,46,121
5610,0500000US46123,51027,46,123
5611,0500000US46125,55380,46,125
5612,0500000US46127,69563,46,127
5613,0500000US46129,52123,46,129
5614,0500000US46135,54694,46,135
5615,0500000US46137,37143,46,137
5616,0500000US47001,49376,47,1
5617,0500000US47003,48945,47,3
5618,0500000US47005,33125,47,5
5619,0500000US47007,42889,47,7
5620,0500000US47009,54140,47,9
5621,0500000US47011,48140,47,11
5622,0500000US47013,38170,47,13
5623,0500000US47015,49523,47,15
5624,0500000US47017,40810,47,17
5625,0500000US47019,36589,47,19
5626,0500000US47021,58641,47,21
